         Index             t      Heatflow            Ts            Tr
           [#]             [s]             [mW]          [°C]          [°C]
             0   0.00000e+00  -5.55570e-02   3.75051e+02   3.75000e+02
             1   1.00000e-04  -5.55952e-02   3.75051e+02   3.74950e+02
             2   2.00000e-04  -5.58220e-02   3.75052e+02   3.74900e+02
             3   3.00000e-04  -5.62832e-02   3.75047e+02   3.74850e+02
             4   4.00000e-04  -5.67707e-02   3.75042e+02   3.74800e+02
             5   5.00000e-04  -5.70713e-02   3.75032e+02   3.74750e+02
             6   6.00000e-04  -5.69453e-02   3.75018e+02   3.74700e+02
             7   7.00000e-04  -5.63796e-02   3.74996e+02   3.74650e+02
             8   8.00000e-04  -5.55878e-02   3.74973e+02   3.74600e+02
             9   9.00000e-04  -5.46573e-02   3.74946e+02   3.74550e+02
            10   1.00000e-03  -5.37727e-02   3.74917e+02   3.74500e+02
            11   1.10000e-03  -5.29518e-02   3.74887e+02   3.74450e+02
            12   1.20000e-03  -5.20544e-02   3.74855e+02   3.74400e+02
            13   1.30000e-03  -5.10318e-02   3.74827e+02   3.74350e+02
            14   1.40000e-03  -4.97353e-02   3.74788e+02   3.74300e+02
            15   1.50000e-03  -4.81571e-02   3.74752e+02   3.74250e+02
            16   1.60000e-03  -4.64219e-02   3.74710e+02   3.74200e+02
            17   1.70000e-03  -4.45819e-02   3.74676e+02   3.74150e+02
            18   1.80000e-03  -4.27375e-02   3.74632e+02   3.74100e+02
            19   1.90000e-03  -4.09039e-02   3.74592e+02   3.74050e+02
            20   2.00000e-03  -3.89564e-02   3.74549e+02   3.74000e+02
            21   2.10000e-03  -3.69120e-02   3.74508e+02   3.73950e+02
            22   2.20000e-03  -3.47697e-02   3.74466e+02   3.73900e+02
            23   2.30000e-03  -3.25504e-02   3.74420e+02   3.73850e+02
            24   2.40000e-03  -3.03444e-02   3.74375e+02   3.73800e+02
            25   2.50000e-03  -2.81284e-02   3.74327e+02   3.73750e+02
            26   2.60000e-03  -2.59331e-02   3.74283e+02   3.73700e+02
            27   2.70000e-03  -2.38188e-02   3.74235e+02   3.73650e+02
            28   2.80000e-03  -2.17252e-02   3.74188e+02   3.73600e+02
            29   2.90000e-03  -1.97044e-02   3.74141e+02   3.73550e+02
            30   3.00000e-03  -1.78039e-02   3.74094e+02   3.73500e+02
            31   3.10000e-03  -1.60105e-02   3.74046e+02   3.73450e+02
            32   3.20000e-03  -1.43116e-02   3.74000e+02   3.73400e+02
            33   3.30000e-03  -1.26857e-02   3.73951e+02   3.73350e+02
            34   3.40000e-03  -1.10883e-02   3.73902e+02   3.73300e+02
            35   3.50000e-03  -9.55533e-03   3.73857e+02   3.73250e+02
            36   3.60000e-03  -8.01413e-03   3.73806e+02   3.73200e+02
            37   3.70000e-03  -6.45507e-03   3.73758e+02   3.73150e+02
            38   3.80000e-03  -4.88814e-03   3.73713e+02   3.73100e+02
            39   3.90000e-03  -3.29186e-03   3.73659e+02   3.73050e+02
            40   4.00000e-03  -1.71100e-03   3.73612e+02   3.73000e+02
            41   4.10000e-03  -1.18178e-04   3.73560e+02   3.72950e+02
            42   4.20000e-03   1.51242e-03   3.73514e+02   3.72900e+02
            43   4.30000e-03   3.14400e-03   3.73466e+02   3.72850e+02
            44   4.40000e-03   4.79520e-03   3.73414e+02   3.72800e+02
            45   4.50000e-03   6.46125e-03   3.73366e+02   3.72750e+02
            46   4.60000e-03   8.13175e-03   3.73316e+02   3.72700e+02
            47   4.70000e-03   9.84123e-03   3.73266e+02   3.72650e+02
            48   4.80000e-03   1.15608e-02   3.73215e+02   3.72600e+02
            49   4.90000e-03   1.32477e-02   3.73168e+02   3.72550e+02
            50   5.00000e-03   1.49383e-02   3.73118e+02   3.72500e+02
            51   5.10000e-03   1.65782e-02   3.73070e+02   3.72450e+02
            52   5.20000e-03   1.81909e-02   3.73017e+02   3.72400e+02
            53   5.30000e-03   1.97766e-02   3.72968e+02   3.72350e+02
            54   5.40000e-03   2.12761e-02   3.72918e+02   3.72300e+02
            55   5.50000e-03   2.27257e-02   3.72867e+02   3.72250e+02
            56   5.60000e-03   2.41350e-02   3.72819e+02   3.72200e+02
            57   5.70000e-03   2.54820e-02   3.72771e+02   3.72150e+02
            58   5.80000e-03   2.67713e-02   3.72719e+02   3.72100e+02
            59   5.90000e-03   2.80566e-02   3.72672e+02   3.72050e+02
            60   6.00000e-03   2.92731e-02   3.72617e+02   3.72000e+02
            61   6.10000e-03   3.04408e-02   3.72568e+02   3.71950e+02
            62   6.20000e-03   3.15004e-02   3.72521e+02   3.71900e+02
            63   6.30000e-03   3.25180e-02   3.72469e+02   3.71850e+02
            64   6.40000e-03   3.34783e-02   3.72419e+02   3.71800e+02
            65   6.50000e-03   3.43418e-02   3.72369e+02   3.71750e+02
            66   6.60000e-03   3.51518e-02   3.72320e+02   3.71700e+02
            67   6.70000e-03   3.58986e-02   3.72269e+02   3.71650e+02
            68   6.80000e-03   3.65887e-02   3.72222e+02   3.71600e+02
            69   6.90000e-03   3.72204e-02   3.72170e+02   3.71550e+02
            70   7.00000e-03   3.77555e-02   3.72123e+02   3.71500e+02
            71   7.10000e-03   3.82490e-02   3.72069e+02   3.71450e+02
            72   7.20000e-03   3.86674e-02   3.72019e+02   3.71400e+02
            73   7.30000e-03   3.90453e-02   3.71971e+02   3.71350e+02
            74   7.40000e-03   3.93884e-02   3.71919e+02   3.71300e+02
            75   7.50000e-03   3.97388e-02   3.71870e+02   3.71250e+02
            76   7.60000e-03   3.99892e-02   3.71820e+02   3.71200e+02
            77   7.70000e-03   4.02084e-02   3.71770e+02   3.71150e+02
            78   7.80000e-03   4.03644e-02   3.71723e+02   3.71100e+02
            79   7.90000e-03   4.04897e-02   3.71674e+02   3.71050e+02
            80   8.00000e-03   4.05622e-02   3.71617e+02   3.71000e+02
            81   8.10000e-03   4.06308e-02   3.71574e+02   3.70950e+02
            82   8.20000e-03   4.06622e-02   3.71518e+02   3.70900e+02
            83   8.30000e-03   4.06823e-02   3.71468e+02   3.70850e+02
            84   8.40000e-03   4.06872e-02   3.71422e+02   3.70800e+02
            85   8.50000e-03   4.07022e-02   3.71370e+02   3.70750e+02
            86   8.60000e-03   4.07438e-02   3.71323e+02   3.70700e+02
            87   8.70000e-03   4.07368e-02   3.71269e+02   3.70650e+02
            88   8.80000e-03   4.07270e-02   3.71220e+02   3.70600e+02
            89   8.90000e-03   4.06558e-02   3.71172e+02   3.70550e+02
            90   9.00000e-03   4.05910e-02   3.71117e+02   3.70500e+02
            91   9.10000e-03   4.05471e-02   3.71071e+02   3.70450e+02
            92   9.20000e-03   4.04740e-02   3.71022e+02   3.70400e+02
            93   9.30000e-03   4.04083e-02   3.70969e+02   3.70350e+02
            94   9.40000e-03   4.03162e-02   3.70923e+02   3.70300e+02
            95   9.50000e-03   4.02249e-02   3.70870e+02   3.70250e+02
            96   9.60000e-03   4.01605e-02   3.70820e+02   3.70200e+02
            97   9.70000e-03   4.00517e-02   3.70772e+02   3.70150e+02
            98   9.80000e-03   3.99707e-02   3.70721e+02   3.70100e+02
            99   9.90000e-03   3.99192e-02   3.70672e+02   3.70050e+02
           100   1.00000e-02   3.98289e-02   3.70620e+02   3.70000e+02
           101   1.01000e-02   3.97370e-02   3.70568e+02   3.69950e+02
           102   1.02000e-02   3.96373e-02   3.70519e+02   3.69900e+02
           103   1.03000e-02   3.95261e-02   3.70468e+02   3.69850e+02
           104   1.04000e-02   3.94367e-02   3.70420e+02   3.69800e+02
           105   1.05000e-02   3.93526e-02   3.70370e+02   3.69750e+02
           106   1.06000e-02   3.92381e-02   3.70319e+02   3.69700e+02
           107   1.07000e-02   3.91133e-02   3.70268e+02   3.69650e+02
           108   1.08000e-02   3.89516e-02   3.70221e+02   3.69600e+02
           109   1.09000e-02   3.88105e-02   3.70171e+02   3.69550e+02
           110   1.10000e-02   3.87082e-02   3.70117e+02   3.69500e+02
           111   1.11000e-02   3.86034e-02   3.70070e+02   3.69450e+02
           112   1.12000e-02   3.84878e-02   3.70017e+02   3.69400e+02
           113   1.13000e-02   3.83381e-02   3.69966e+02   3.69350e+02
           114   1.14000e-02   3.82062e-02   3.69921e+02   3.69300e+02
           115   1.15000e-02   3.80771e-02   3.69868e+02   3.69250e+02
           116   1.16000e-02   3.79860e-02   3.69819e+02   3.69200e+02
           117   1.17000e-02   3.79051e-02   3.69772e+02   3.69150e+02
           118   1.18000e-02   3.78706e-02   3.69717e+02   3.69100e+02
           119   1.19000e-02   3.77976e-02   3.69670e+02   3.69050e+02
           120   1.20000e-02   3.76948e-02   3.69618e+02   3.69000e+02
           121   1.21000e-02   3.75412e-02   3.69567e+02   3.68950e+02
           122   1.22000e-02   3.73596e-02   3.69517e+02   3.68900e+02
           123   1.23000e-02   3.72116e-02   3.69467e+02   3.68850e+02
           124   1.24000e-02   3.71182e-02   3.69417e+02   3.68800e+02
           125   1.25000e-02   3.70159e-02   3.69368e+02   3.68750e+02
           126   1.26000e-02   3.69478e-02   3.69316e+02   3.68700e+02
           127   1.27000e-02   3.68761e-02   3.69268e+02   3.68650e+02
           128   1.28000e-02   3.67921e-02   3.69217e+02   3.68600e+02
           129   1.29000e-02   3.67195e-02   3.69167e+02   3.68550e+02
           130   1.30000e-02   3.66279e-02   3.69119e+02   3.68500e+02
           131   1.31000e-02   3.65748e-02   3.69066e+02   3.68450e+02
           132   1.32000e-02   3.65371e-02   3.69014e+02   3.68400e+02
           133   1.33000e-02   3.64844e-02   3.68967e+02   3.68350e+02
           134   1.34000e-02   3.64613e-02   3.68914e+02   3.68300e+02
           135   1.35000e-02   3.64430e-02   3.68865e+02   3.68250e+02
           136   1.36000e-02   3.64136e-02   3.68814e+02   3.68200e+02
           137   1.37000e-02   3.64156e-02   3.68762e+02   3.68150e+02
           138   1.38000e-02   3.64129e-02   3.68714e+02   3.68100e+02
           139   1.39000e-02   3.63465e-02   3.68664e+02   3.68050e+02
           140   1.40000e-02   3.62816e-02   3.68612e+02   3.68000e+02
           141   1.41000e-02   3.61652e-02   3.68565e+02   3.67950e+02
           142   1.42000e-02   3.60545e-02   3.68515e+02   3.67900e+02
           143   1.43000e-02   3.60197e-02   3.68466e+02   3.67850e+02
           144   1.44000e-02   3.59578e-02   3.68418e+02   3.67800e+02
           145   1.45000e-02   3.59250e-02   3.68363e+02   3.67750e+02
           146   1.46000e-02   3.58683e-02   3.68315e+02   3.67700e+02
           147   1.47000e-02   3.58043e-02   3.68262e+02   3.67650e+02
